ID,code,type,description,status,durationTime,durationUnit,maintenanceOrder_ID,equipment_ID,operation_ID
135,0010,Instrumentation,Tighten and align coupling,CLSD,1.5,H,50,10,
136,0020,Civil,Replace consumable part,CLSD,3.0,H,50,10,
137,0010,Mechanical,Inspect and diagnose fault,CRTD,0.5,H,51,11,
138,0020,Electrical,Dismantle assembly,CRTD,2.0,H,51,11,
139,0010,Instrumentation,Replace worn component,REL,3.5,H,52,12,
140,0020,Civil,Clean and lubricate,REL,1.0,H,52,12,
141,0030,Mechanical,Test and commission,REL,2.5,H,52,12,
142,0020-01,Civil,Check insulation resistance,REL,0.5,H,52,12,140
143,0010,Instrumentation,Tighten and align coupling,INPR,1.5,H,53,13,
144,0020,Civil,Replace consumable part,INPR,3.0,H,53,13,
145,0010,Mechanical,Inspect and diagnose fault,TECO,0.5,H,54,14,
146,0020,Electrical,Dismantle assembly,TECO,2.0,H,54,14,
147,0010,Instrumentation,Replace worn component,CLSD,3.5,H,55,15,
148,0020,Civil,Clean and lubricate,CLSD,1.0,H,55,15,
149,0030,Mechanical,Test and commission,CLSD,2.5,H,55,15,
150,0010-01,Instrumentation,Check insulation resistance,CLSD,0.5,H,55,15,147
151,0010,Instrumentation,Tighten and align coupling,CRTD,1.5,H,56,16,
152,0020,Civil,Replace consumable part,CRTD,3.0,H,56,16,
153,0010,Mechanical,Inspect and diagnose fault,REL,0.5,H,57,17,
154,0020,Electrical,Dismantle assembly,REL,2.0,H,57,17,
155,0020-01,Electrical,Record vibration readings,REL,0.5,H,57,17,154
156,0010,Civil,Clean and lubricate,INPR,1.0,H,58,18,
157,0020,Mechanical,Test and commission,INPR,2.5,H,58,18,
158,0030,Electrical,Calibrate instrument,INPR,4.0,H,58,18,
159,0010,Instrumentation,Tighten and align coupling,TECO,1.5,H,59,19,
160,0020,Civil,Replace consumable part,TECO,3.0,H,59,19,
161,0010,Mechanical,Inspect and diagnose fault,CLSD,0.5,H,60,20,
162,0020,Electrical,Dismantle assembly,CLSD,2.0,H,60,20,
163,0010-01,Mechanical,Record vibration readings,CLSD,0.5,H,60,20,161
164,0010,Civil,Clean and lubricate,CRTD,1.0,H,61,1,
165,0020,Mechanical,Test and commission,CRTD,2.5,H,61,1,
166,0030,Electrical,Calibrate instrument,CRTD,4.0,H,61,1,
167,0010,Instrumentation,Tighten and align coupling,REL,1.5,H,62,2,
168,0020,Civil,Replace consumable part,REL,3.0,H,62,2,
169,0020-01,Civil,Verify torque settings,REL,0.5,H,62,2,168
170,0010,Electrical,Dismantle assembly,INPR,2.0,H,63,3,
171,0020,Instrumentation,Replace worn component,INPR,3.5,H,63,3,
172,0010,Civil,Clean and lubricate,TECO,1.0,H,64,4,
173,0020,Mechanical,Test and commission,TECO,2.5,H,64,4,
174,0030,Electrical,Calibrate instrument,TECO,4.0,H,64,4,
175,0010,Instrumentation,Tighten and align coupling,CLSD,1.5,H,65,5,
176,0020,Civil,Replace consumable part,CLSD,3.0,H,65,5,
177,0010-01,Instrumentation,Verify torque settings,CLSD,0.5,H,65,5,175
178,0010,Electrical,Dismantle assembly,CRTD,2.0,H,66,6,
179,0020,Instrumentation,Replace worn component,CRTD,3.5,H,66,6,
180,0010,Civil,Clean and lubricate,REL,1.0,H,67,7,
181,0020,Mechanical,Test and commission,REL,2.5,H,67,7,
182,0030,Electrical,Calibrate instrument,REL,4.0,H,67,7,
183,0030-01,Electrical,Record vibration readings,REL,0.5,H,67,7,182
184,0010,Civil,Replace consumable part,INPR,3.0,H,68,8,
185,0020,Mechanical,Inspect and diagnose fault,INPR,0.5,H,68,8,
186,0010,Electrical,Dismantle assembly,TECO,2.0,H,69,9,
187,0020,Instrumentation,Replace worn component,TECO,3.5,H,69,9,
188,0010,Civil,Clean and lubricate,CLSD,1.0,H,70,10,
189,0020,Mechanical,Test and commission,CLSD,2.5,H,70,10,
190,0030,Electrical,Calibrate instrument,CLSD,4.0,H,70,10,
191,0020-01,Mechanical,Record vibration readings,CLSD,0.5,H,70,10,189
192,0010,Civil,Replace consumable part,CRTD,3.0,H,71,11,
193,0020,Mechanical,Inspect and diagnose fault,CRTD,0.5,H,71,11,
194,0010,Electrical,Dismantle assembly,REL,2.0,H,72,12,
195,0020,Instrumentation,Replace worn component,REL,3.5,H,72,12,
196,0010,Civil,Clean and lubricate,INPR,1.0,H,73,13,
197,0020,Mechanical,Test and commission,INPR,2.5,H,73,13,
198,0030,Electrical,Calibrate instrument,INPR,4.0,H,73,13,
199,0010-01,Civil,Record vibration readings,INPR,0.5,H,73,13,196
200,0010,Civil,Replace consumable part,TECO,3.0,H,74,14,
201,0020,Mechanical,Inspect and diagnose fault,TECO,0.5,H,74,14,
202,0010,Electrical,Dismantle assembly,CLSD,2.0,H,75,15,
203,0020,Instrumentation,Replace worn component,CLSD,3.5,H,75,15,
204,0020-01,Instrumentation,Inspect shaft alignment,CLSD,0.5,H,75,15,203
205,0010,Mechanical,Test and commission,CRTD,2.5,H,76,16,
206,0020,Electrical,Calibrate instrument,CRTD,4.0,H,76,16,
207,0030,Instrumentation,Tighten and align coupling,CRTD,1.5,H,76,16,
208,0010,Civil,Replace consumable part,REL,3.0,H,77,17,
209,0020,Mechanical,Inspect and diagnose fault,REL,0.5,H,77,17,
210,0010,Electrical,Dismantle assembly,INPR,2.0,H,78,18,
211,0020,Instrumentation,Replace worn component,INPR,3.5,H,78,18,
212,0010-01,Electrical,Inspect shaft alignment,INPR,0.5,H,78,18,210
213,0010,Mechanical,Test and commission,TECO,2.5,H,79,19,
214,0020,Electrical,Calibrate instrument,TECO,4.0,H,79,19,
215,0030,Instrumentation,Tighten and align coupling,TECO,1.5,H,79,19,
216,0010,Civil,Replace consumable part,CLSD,3.0,H,80,20,
217,0020,Mechanical,Inspect and diagnose fault,CLSD,0.5,H,80,20,
218,0020-01,Mechanical,Check insulation resistance,CLSD,0.5,H,80,20,217
219,0010,Instrumentation,Replace worn component,CRTD,3.5,H,81,1,
220,0020,Civil,Clean and lubricate,CRTD,1.0,H,81,1,
221,0010,Mechanical,Test and commission,REL,2.5,H,82,2,
222,0020,Electrical,Calibrate instrument,REL,4.0,H,82,2,
223,0030,Instrumentation,Tighten and align coupling,REL,1.5,H,82,2,
224,0010,Civil,Replace consumable part,INPR,3.0,H,83,3,
225,0020,Mechanical,Inspect and diagnose fault,INPR,0.5,H,83,3,
226,0010-01,Civil,Check insulation resistance,INPR,0.5,H,83,3,224
227,0010,Instrumentation,Replace worn component,TECO,3.5,H,84,4,
228,0020,Civil,Clean and lubricate,TECO,1.0,H,84,4,
229,0010,Mechanical,Test and commission,CLSD,2.5,H,85,5,
230,0020,Electrical,Calibrate instrument,CLSD,4.0,H,85,5,
231,0030,Instrumentation,Tighten and align coupling,CLSD,1.5,H,85,5,
232,0030-01,Instrumentation,Inspect shaft alignment,CLSD,0.5,H,85,5,231
233,0010,Mechanical,Inspect and diagnose fault,CRTD,0.5,H,86,6,
234,0020,Electrical,Dismantle assembly,CRTD,2.0,H,86,6,
235,0010,Instrumentation,Replace worn component,REL,3.5,H,87,7,
236,0020,Civil,Clean and lubricate,REL,1.0,H,87,7,
237,0010,Mechanical,Test and commission,INPR,2.5,H,88,8,
238,0020,Electrical,Calibrate instrument,INPR,4.0,H,88,8,
239,0030,Instrumentation,Tighten and align coupling,INPR,1.5,H,88,8,
240,0020-01,Electrical,Inspect shaft alignment,INPR,0.5,H,88,8,238
241,0010,Mechanical,Inspect and diagnose fault,TECO,0.5,H,89,9,
242,0020,Electrical,Dismantle assembly,TECO,2.0,H,89,9,
243,0010,Instrumentation,Replace worn component,CLSD,3.5,H,90,10,
244,0020,Civil,Clean and lubricate,CLSD,1.0,H,90,10,
245,0010,Mechanical,Test and commission,CRTD,2.5,H,91,11,
246,0020,Electrical,Calibrate instrument,CRTD,4.0,H,91,11,
247,0030,Instrumentation,Tighten and align coupling,CRTD,1.5,H,91,11,
248,0010-01,Mechanical,Inspect shaft alignment,CRTD,0.5,H,91,11,245
249,0010,Mechanical,Inspect and diagnose fault,REL,0.5,H,92,12,
250,0020,Electrical,Dismantle assembly,REL,2.0,H,92,12,
251,0010,Instrumentation,Replace worn component,INPR,3.5,H,93,13,
252,0020,Civil,Clean and lubricate,INPR,1.0,H,93,13,
253,0020-01,Civil,Verify torque settings,INPR,0.5,H,93,13,252
254,0010,Electrical,Calibrate instrument,TECO,4.0,H,94,14,
255,0020,Instrumentation,Tighten and align coupling,TECO,1.5,H,94,14,
256,0030,Civil,Replace consumable part,TECO,3.0,H,94,14,
257,0010,Mechanical,Inspect and diagnose fault,CLSD,0.5,H,95,15,
258,0020,Electrical,Dismantle assembly,CLSD,2.0,H,95,15,
259,0010,Instrumentation,Replace worn component,CRTD,3.5,H,96,16,
260,0020,Civil,Clean and lubricate,CRTD,1.0,H,96,16,
261,0010-01,Instrumentation,Verify torque settings,CRTD,0.5,H,96,16,259
262,0010,Electrical,Calibrate instrument,REL,4.0,H,97,17,
263,0020,Instrumentation,Tighten and align coupling,REL,1.5,H,97,17,
264,0030,Civil,Replace consumable part,REL,3.0,H,97,17,
265,0010,Mechanical,Inspect and diagnose fault,INPR,0.5,H,98,18,
266,0020,Electrical,Dismantle assembly,INPR,2.0,H,98,18,
267,0020-01,Electrical,Record vibration readings,INPR,0.5,H,98,18,266
268,0010,Civil,Clean and lubricate,TECO,1.0,H,99,19,
269,0020,Mechanical,Test and commission,TECO,2.5,H,99,19,
270,0010,Electrical,Calibrate instrument,CLSD,4.0,H,100,20,
271,0020,Instrumentation,Tighten and align coupling,CLSD,1.5,H,100,20,
272,0030,Civil,Replace consumable part,CLSD,3.0,H,100,20,
273,0010,Mechanical,Inspect and diagnose fault,CRTD,0.5,H,101,1,
274,0020,Electrical,Dismantle assembly,CRTD,2.0,H,101,1,
275,0010-01,Mechanical,Record vibration readings,CRTD,0.5,H,101,1,273
276,0010,Civil,Clean and lubricate,REL,1.0,H,102,2,
277,0020,Mechanical,Test and commission,REL,2.5,H,102,2,
278,0010,Electrical,Calibrate instrument,INPR,4.0,H,103,3,
279,0020,Instrumentation,Tighten and align coupling,INPR,1.5,H,103,3,
280,0030,Civil,Replace consumable part,INPR,3.0,H,103,3,
281,0030-01,Civil,Verify torque settings,INPR,0.5,H,103,3,280
282,0010,Electrical,Dismantle assembly,TECO,2.0,H,104,4,
283,0020,Instrumentation,Replace worn component,TECO,3.5,H,104,4,
284,0010,Civil,Clean and lubricate,CLSD,1.0,H,105,5,
285,0020,Mechanical,Test and commission,CLSD,2.5,H,105,5,
286,0010,Electrical,Calibrate instrument,CRTD,4.0,H,106,6,
287,0020,Instrumentation,Tighten and align coupling,CRTD,1.5,H,106,6,
288,0030,Civil,Replace consumable part,CRTD,3.0,H,106,6,
289,0020-01,Instrumentation,Verify torque settings,CRTD,0.5,H,106,6,287
290,0010,Electrical,Dismantle assembly,REL,2.0,H,107,7,
291,0020,Instrumentation,Replace worn component,REL,3.5,H,107,7,
292,0010,Civil,Clean and lubricate,INPR,1.0,H,108,8,
293,0020,Mechanical,Test and commission,INPR,2.5,H,108,8,
294,0010,Electrical,Calibrate instrument,TECO,4.0,H,109,9,
295,0020,Instrumentation,Tighten and align coupling,TECO,1.5,H,109,9,
296,0030,Civil,Replace consumable part,TECO,3.0,H,109,9,
297,0010-01,Electrical,Verify torque settings,TECO,0.5,H,109,9,294
298,0010,Electrical,Dismantle assembly,CLSD,2.0,H,110,10,
299,0020,Instrumentation,Replace worn component,CLSD,3.5,H,110,10,
300,0010,Civil,Clean and lubricate,CRTD,1.0,H,111,11,
301,0020,Mechanical,Test and commission,CRTD,2.5,H,111,11,
302,0020-01,Mechanical,Check insulation resistance,CRTD,0.5,H,111,11,301
303,0010,Instrumentation,Tighten and align coupling,REL,1.5,H,112,12,
304,0020,Civil,Replace consumable part,REL,3.0,H,112,12,
305,0030,Mechanical,Inspect and diagnose fault,REL,0.5,H,112,12,
306,0010,Electrical,Dismantle assembly,INPR,2.0,H,113,13,
307,0020,Instrumentation,Replace worn component,INPR,3.5,H,113,13,
308,0010,Civil,Clean and lubricate,TECO,1.0,H,114,14,
309,0020,Mechanical,Test and commission,TECO,2.5,H,114,14,
310,0010-01,Civil,Check insulation resistance,TECO,0.5,H,114,14,308
311,0010,Instrumentation,Tighten and align coupling,CLSD,1.5,H,115,15,
312,0020,Civil,Replace consumable part,CLSD,3.0,H,115,15,
313,0030,Mechanical,Inspect and diagnose fault,CLSD,0.5,H,115,15,
